"Bill Number","Congress","Title","No. of Reports & Specific Issues*"
"H.R.824    ","118","Telehealth Benefit Expansion for Workers Act of 2023","3"
"H.R.5378    ","118","Lower Costs More Transparency Act","2"
"H.R.5860    ","118","Continuing Appropriations Act 2024 and Other Extensions Act","1"
"S.3393     ","118","SUPPORT for Patients and Communities Reauthorization Act","1"
"S.3430     ","118","Better Mental Health Care Lower-Cost Drugs and Extenders Act of 2023","1"
"H.R.6363    ","118","Further Continuing Appropriations and Other Extensions Act 2024","1"
