priority,address,city,zip,total_medicaid,num_entities,why_flagged,all_entities,all_persons
P4 - MEDIUM,439 S UNION ST,LAWRENCE,1843,62635689,4,"OVER $10M BILLED MAESTRO-CONNECTIONS HEALTH SYSTEMS, LLC 52901102","MAESTRO-CONNECTIONS HEALTH SYSTEMS, LLC /// MAESTRO COMMUNITY CARE, LLC /// AFYA HOME CARE LLC /// ARRIGG ASSOCIATES , P.C.",GEORGE KIONGERA /// JUDITH GRANT /// STEPHEN WANJIRU
P4 - MEDIUM,100 CUMMINGS CTR,BEVERLY,1915,53408308,9,9 ENTITIES AT ONE ADDRESS | OVER $10M BILLED ASSOCIATED HOME CARE 34081080,"ASSOCIATED HOME CARE /// STANDARDS CARE STAFFING, INC /// JESSICA BLUTSTEIN /// CORNELL ORTHOTICS AND PROSTHETICS, INC /// MARIANNE CANNON /// SPEECH THERAPY GROUP, LLC. /// ESSEX SURGICAL ASSOCIATES, PC /// NEWMAN & HAHN, M.D., P.C. /// DAVID SMAIL",AGNES MANUMBU /// DEBBI CLEMENZI /// KEITH CORNELL /// MELANIE GILES /// MICHAEL TRIGILIO /// SUSAN KAROL
P4 - MEDIUM,112 KERNWOOD DR,LYNN,1904,50650938,2,"OVER $10M BILLED | BILLING SAME CODES: S5102, T2003 LYNN COMMUNITY ELDER SERVICES 48571658","LYNN COMMUNITY ELDER SERVICES /// KERNWOOD ADULT DAY CARE, INC.",DAVID LIBBY /// SHERRILL O'GORMAN
P4 - MEDIUM,11-15 SANDERSDALE ROAD,SOUTHBRIDGE,1550,45010148,4,"OVER $10M BILLED RMG HOME CARE, INC 12733116","RMG HOME CARE, INC /// RMG ADULT DAY HEALTH CENTERS, LLC /// RENAISSANCE PRIMARY CARE, LLC /// PEOPLE FIRST GAFC LLC",GRACE RODRIGUEZ /// JAMES MANUEL /// KRYSTAL SICAL /// LISSETTE GUZMAN
P4 - MEDIUM,16 SHAKER RD,EAST LONGMEADOW,1028,35810236,2,OVER $10M BILLED GOLDEN YEARS HOME CARE SERVICES OF MASSACHUSETTS 35531247,GOLDEN YEARS HOME CARE SERVICES OF MASSACHUSETTS /// GOLDEN YEARS BEHAVIORAL HEALTH GROUP INC.,CESAR RUIZ /// TRACY MINEO
P4 - MEDIUM,599 CANAL ST,LAWRENCE,1840,35756138,12,"12 ENTITIES AT ONE ADDRESS | OVER $10M BILLED INTERNATIONAL HEALTH SOLUTIONS, INC 17519747","INTERNATIONAL HEALTH SOLUTIONS, INC /// LIFOD HOME HEALTH CARE LLC /// PATRICIO DHIMITRI /// CAROL SUTCLIFFE /// HRI CLINICS, INC. /// GAIL WANGERIN /// SAMUEL ROMERO /// BELEN GODWIN /// EVA SHANNON /// A CARING TOUCH NURSING & HOME CARE SERVICES INC /// RUTH CABRERA /// DEBORAH AMOROSO",CHRISTINE ASACK /// KARIUKI KIMUNGU /// RITA NORTON /// SOPHIE TABI
P4 - MEDIUM,152 SYLVAN ST,DANVERS,1923,13069614,2,"OVER $10M BILLED | BILLING SAME CODES: S5130, S5161, S5170 NORTH SHORE ELDER SERVICES, INC. 12678900","NORTH SHORE ELDER SERVICES, INC. /// NORTH SHORE ELDER SERVICES, INC.",PAUL BRINDAMOUR /// PAUL LANZIKOS
P4 - MEDIUM,331 MONTVALE AVE,WOBURN,1801,12349060,2,"OVER $10M BILLED ALLIANCE HOME CARE VISITING NURSE AGENCY, INC. 10984548","ALLIANCE HOME CARE VISITING NURSE AGENCY, INC. /// ALLIANCE COMMUNITY CONNECTIONS INC",FRANCOISE CHARLES /// JOHN NJINE
P4 - MEDIUM,384 WASHINGTON ST,NORWELL,2061,7918694,4,"OVER $1M BILLED | BILLING SAME CODES: 90834 ARBOUR ELDER SERVICES, INC. 6887166","ARBOUR ELDER SERVICES, INC. /// SARAH REGO /// HRI CLINICS INC /// THERESE GORETTI",JOHN FLETCHER /// STEVE FILTON
P4 - MEDIUM,29 CRAFTS ST,NEWTON,2458,3609824,3,OVER $1M BILLED A&B HOME SERVICES 2852839,A&B HOME SERVICES /// ABP BEST HOME CARE AGENCY INC /// ISABEL MORAIS,BORIS KHANATAEV /// GITANA KAPLUN
